Type;Totaal leeftijd man en vrouw;Totaal leeftijd man;Totaal leeftijd vrouw;0 tot 65 jaar man en vrouw;0 tot 65 jaar man;0 tot 65 jaar vrouw;65 tot 80 jaar man en vrouw;65 tot 80 jaar man;65 tot 80 jaar vrouw;80 jaar of ouder man en vrouw;80 jaar of ouder man;80 jaar of ouder vrouw
2017 week 1;3568;1676;1892;454;268;186;929;522;407;2185;886;1299
2017 week 2;3637;1741;1896;418;238;180;993;587;406;2226;916;1310
2017 week 3;3487;1639;1848;428;239;189;894;528;366;2165;872;1293
2017 week 4;3626;1679;1947;447;256;191;956;545;411;2223;878;1345
2017 week 5;3574;1697;1877;424;267;157;1038;610;428;2112;820;1292
2017 week 6;3446;1633;1813;472;264;208;929;514;415;2045;855;1190
2017 week 7;3417;1627;1790;466;271;195;877;493;384;2074;863;1211
2017 week 8;3328;1558;1770;439;247;192;914;509;405;1975;802;1173
2017 week 9;3152;1511;1641;407;234;173;828;494;334;1917;783;1134
2017 week 10;3054;1481;1573;436;249;187;886;506;380;1732;726;1006
2017 week 11;2843;1350;1493;426;243;183;795;470;325;1622;637;985
2017 week 12;2778;1327;1451;413;226;187;818;478;340;1547;623;924
2017 week 13;2850;1405;1445;426;238;188;866;512;354;1558;655;903
2017 week 14;2764;1308;1456;435;249;186;800;455;345;1529;604;925
2017 week 15;2810;1381;1429;401;230;171;866;495;371;1543;656;887
2017 week 16;2713;1326;1387;403;234;169;815;486;329;1495;606;889
2017 week 17;2778;1320;1458;388;237;151;821;468;353;1569;615;954
2017 week 18;2769;1359;1410;389;231;158;840;494;346;1540;634;906
2017 week 19;2802;1320;1482;379;203;176;853;481;372;1570;636;934
2017 week 20;2801;1348;1453;387;219;168;848;489;359;1566;640;926
2017 week 21;2772;1361;1411;402;251;151;830;503;327;1540;607;933
2017 week 22;2701;1296;1405;377;218;159;840;484;356;1484;594;890
2017 week 23;2624;1229;1395;418;242;176;749;419;330;1457;568;889
2017 week 24;2643;1280;1363;400;208;192;794;471;323;1449;601;848
2017 week 25;2627;1268;1359;415;235;180;803;448;355;1409;585;824
2017 week 26;2691;1350;1341;435;253;182;785;469;316;1471;628;843
2017 week 27;2697;1287;1410;401;231;170;816;453;363;1480;603;877
2017 week 28;2520;1247;1273;397;214;183;758;450;308;1365;583;782
2017 week 29;2674;1318;1356;397;234;163;832;487;345;1445;597;848
2017 week 30;2571;1247;1324;384;225;159;819;474;345;1368;548;820
2017 week 31;2510;1244;1266;386;229;157;775;472;303;1349;543;806
2017 week 32;2657;1275;1382;416;242;174;838;485;353;1403;548;855
2017 week 33;2540;1262;1278;404;257;147;795;460;335;1341;545;796
2017 week 34;2545;1247;1298;384;231;153;763;447;316;1398;569;829
2017 week 35;2576;1288;1288;401;232;169;790;490;300;1385;566;819
2017 week 36;2570;1277;1293;384;218;166;846;500;346;1340;559;781
2017 week 37;2707;1340;1367;416;234;182;864;509;355;1427;597;830
2017 week 38;2715;1354;1361;443;260;183;854;509;345;1418;585;833
2017 week 39;2669;1310;1359;401;243;158;823;487;336;1445;580;865
2017 week 40;2641;1330;1311;421;254;167;793;497;296;1427;579;848
2017 week 41;2763;1374;1389;416;238;178;877;533;344;1470;603;867
2017 week 42;2706;1299;1407;394;211;183;832;485;347;1480;603;877
2017 week 43;2676;1286;1390;397;193;204;791;478;313;1488;615;873
2017 week 44;2726;1327;1399;427;257;170;798;465;333;1501;605;896
2017 week 45;2797;1353;1444;445;273;172;795;449;346;1557;631;926
2017 week 46;2916;1376;1540;430;244;186;911;527;384;1575;605;970
2017 week 47;2917;1444;1473;411;243;168;912;535;377;1594;666;928
2017 week 48;2886;1464;1422;419;265;154;880;543;337;1587;656;931
2017 week 49;3027;1487;1540;457;280;177;899;510;389;1671;697;974
2017 week 50;3218;1572;1646;458;269;189;1017;560;457;1743;743;1000
2017 week 51;3079;1442;1637;424;243;181;918;527;391;1737;672;1065
2017 week 52;3187;1520;1667;437;249;188;934;514;420;1816;757;1059
2018 week 1;3343;1557;1786;431;271;160;932;532;400;1980;754;1226
2018 week 2;3359;1592;1767;406;240;166;926;508;418;2027;844;1183
2018 week 3;3364;1620;1744;423;240;183;983;581;402;1958;799;1159
2018 week 4;3322;1650;1672;408;245;163;936;550;386;1978;855;1123
2018 week 5;3403;1559;1844;456;264;192;921;530;391;2026;765;1261
2018 week 6;3513;1640;1873;443;253;190;970;552;418;2100;835;1265
2018 week 7;3660;1780;1880;427;260;167;1070;600;470;2163;920;1243
2018 week 8;3691;1750;1941;434;253;181;1047;595;452;2210;902;1308
2018 week 9;3937;1868;2069;468;261;207;1111;652;459;2358;955;1403
2018 week 10;4092;1904;2188;464;276;188;1114;656;458;2514;972;1542
2018 week 11;3733;1759;1974;445;256;189;1045;607;438;2243;896;1347
2018 week 12;3430;1691;1739;438;239;199;947;578;369;2045;874;1171
2018 week 13;3225;1560;1665;411;245;166;897;532;365;1917;783;1134
2018 week 14;3040;1445;1595;445;250;195;902;507;395;1693;688;1005
2018 week 15;2860;1345;1515;402;217;185;846;478;368;1612;650;962
2018 week 16;2760;1313;1447;380;195;185;874;516;358;1506;602;904
2018 week 17;2663;1279;1384;400;233;167;829;506;323;1434;540;894
2018 week 18;2645;1314;1331;395;234;161;767;448;319;1483;632;851
2018 week 19;2641;1342;1299;371;227;144;758;463;295;1512;652;860
2018 week 20;2606;1277;1329;350;192;158;825;479;346;1431;606;825
2018 week 21;2674;1302;1372;391;228;163;797;480;317;1486;594;892
2018 week 22;2776;1350;1426;416;237;179;857;506;351;1503;607;896
2018 week 23;2679;1313;1366;399;235;164;825;487;338;1455;591;864
2018 week 24;2557;1248;1309;372;209;163;797;463;334;1388;576;812
2018 week 25;2601;1301;1300;362;204;158;803;467;336;1436;630;806
2018 week 26;2619;1311;1308;383;243;140;784;441;343;1452;627;825
2018 week 27;2726;1326;1400;406;222;184;838;485;353;1482;619;863
2018 week 28;2671;1279;1392;408;224;184;805;475;330;1458;580;878
2018 week 29;2704;1311;1393;391;224;167;810;499;311;1503;588;915
2018 week 30;2767;1344;1423;405;246;159;824;470;354;1538;628;910
2018 week 31;2760;1335;1425;402;245;157;867;495;372;1491;595;896
2018 week 32;2745;1339;1406;424;244;180;827;497;330;1494;598;896
2018 week 33;2605;1280;1325;404;231;173;785;461;324;1416;588;828
2018 week 34;2612;1321;1291;375;210;165;813;506;307;1424;605;819
2018 week 35;2527;1275;1252;407;247;160;808;450;358;1312;578;734
2018 week 36;2613;1286;1327;417;231;186;811;459;352;1385;596;789
2018 week 37;2539;1298;1241;368;220;148;819;507;312;1352;571;781
2018 week 38;2706;1325;1381;428;263;165;868;478;390;1410;584;826
2018 week 39;2696;1337;1359;447;251;196;804;466;338;1445;620;825
2018 week 40;2806;1373;1433;441;259;182;873;477;396;1492;637;855
2018 week 41;2760;1361;1399;432;240;192;832;473;359;1496;648;848
2018 week 42;2739;1334;1405;384;220;164;831;491;340;1524;623;901
2018 week 43;2671;1345;1326;430;267;163;857;504;353;1384;574;810
2018 week 44;2815;1373;1442;408;247;161;920;523;397;1487;603;884
2018 week 45;2798;1406;1392;407;226;181;907;531;376;1484;649;835
2018 week 46;2761;1332;1429;431;248;183;825;477;348;1505;607;898
2018 week 47;2859;1398;1461;403;223;180;928;525;403;1528;650;878
2018 week 48;2907;1407;1500;423;250;173;916;515;401;1568;642;926
2018 week 49;2968;1463;1505;438;239;199;905;529;376;1625;695;930
2018 week 50;3017;1512;1505;470;270;200;960;572;388;1587;670;917
2018 week 51;3041;1474;1567;425;246;179;928;507;421;1688;721;967
2018 week 52;2901;1405;1496;408;216;192;909;530;379;1584;659;925
2019 week 1;3062;1250;1356;340;191;149;715;394;321;1551;665;886
2019 week 2*;3262;1578;1684;462;274;188;865;489;376;1935;815;1120
2019 week 3*;3150;1520;1630;396;217;179;926;538;388;1828;765;1063
2019 week 4*;3178;1544;1634;420;211;209;930;511;419;1828;822;1006
2019 week 5*;3143;1578;1565;439;265;174;947;571;376;1757;742;1015
2019 week 6*;3185;1590;1595;401;227;174;983;553;430;1801;810;991
2019 week 7*;3252;1579;1673;405;240;165;915;526;389;1932;813;1119
2019 week 8*;3222;1530;1692;415;239;176;940;541;399;1867;750;1117
2019 week 9*;3066;1462;1604;400;219;181;879;500;379;1787;743;1044
2019 week 10*;3171;1581;1590;429;252;177;938;570;368;1804;759;1045
2019 week 11*;3227;1582;1645;415;216;199;980;574;406;1832;792;1040
2019 week 12*;3042;1464;1578;399;237;162;860;500;360;1783;727;1056
2019 week 13*;3013;1508;1505;396;230;166;892;542;350;1725;736;989
2019 week 14*;2900;1386;1514;384;221;163;848;475;373;1668;690;978
2019 week 15*;2900;1470;1430;402;262;140;888;506;382;1610;702;908
2019 week 16*;3040;1478;1562;426;240;186;901;523;378;1713;715;998
2019 week 17*;2957;1419;1538;367;217;150;860;473;387;1730;729;1001
2019 week 18*;2806;1363;1443;377;222;155;869;477;392;1560;664;896
2019 week 19*;2771;1334;1437;377;224;153;821;447;374;1573;663;910
2019 week 20*;2821;1366;1455;387;224;163;811;466;345;1623;676;947
2019 week 21*;2873;1370;1503;404;240;164;810;453;357;1659;677;982
2019 week 22*;2732;1357;1375;390;239;151;845;508;337;1497;610;887
2019 week 23*;2736;1327;1409;417;229;188;807;441;366;1512;657;855
2019 week 24*;2650;1339;1311;369;226;143;819;490;329;1462;623;839
2019 week 25*;2694;1356;1338;366;213;153;866;517;349;1462;626;836
2019 week 26*;2835;1402;1433;410;243;167;858;507;351;1567;652;915
2019 week 27*;2725;1355;1370;383;224;159;868;495;373;1474;636;838
2019 week 28*;2760;1326;1434;402;246;156;841;464;377;1517;616;901
2019 week 29*;2584;1273;1311;400;245;155;816;484;332;1368;544;824
2019 week 30*;3007;1454;1553;434;238;196;879;516;363;1694;700;994
2019 week 31*;2731;1348;1383;379;222;157;857;508;349;1495;618;877
2019 week 32*;2628;1279;1349;371;202;169;784;459;325;1473;618;855
2019 week 33*;2612;1283;1329;358;217;141;838;480;358;1416;586;830
2019 week 34*;2615;1304;1311;372;202;170;813;486;327;1430;616;814
2019 week 35*;2782;1330;1452;381;211;170;906;511;395;1495;608;887
2019 week 36*;2555;1227;1328;376;213;163;783;449;334;1396;565;831
2019 week 37*;2640;1288;1352;378;203;175;847;487;360;1415;598;817
2019 week 38*;2580;1267;1313;354;206;148;817;471;346;1409;590;819
2019 week 39*;2753;1377;1376;395;236;159;864;486;378;1494;655;839
2019 week 40*;2713;1368;1345;403;229;174;817;493;324;1493;646;847
2019 week 41*;2911;1481;1430;412;263;149;943;569;374;1556;649;907
2019 week 42*;2877;1407;1470;382;222;160;912;523;389;1583;662;921
2019 week 43*;2867;1435;1432;402;233;169;935;551;384;1530;651;879
2019 week 44*;2852;1412;1440;392;216;176;882;500;382;1578;696;882
2019 week 45*;3011;1512;1499;463;267;196;851;499;352;1697;746;951
2019 week 46*;3057;1509;1548;457;262;195;920;517;403;1680;730;950
2019 week 47*;3019;1428;1591;389;224;165;922;520;402;1708;684;1024
2019 week 48*;3037;1504;1533;422;227;195;940;567;373;1675;710;965
2019 week 49*;3013;1469;1544;405;227;178;916;514;402;1692;728;964
2019 week 50*;3148;1540;1608;426;240;186;1015;586;429;1707;714;993
2019 week 51*;3235;1608;1627;450;261;189;992;564;428;1793;783;1010
2019 week 52*;2997;1453;1544;400;237;163;924;529;395;1673;687;986
2020 week 1*;3094;1090;1152;271;148;123;631;381;250;1340;561;779
2020 week 2*;3364;1676;1688;432;253;179;967;546;421;1965;877;1088
2020 week 3*;3150;1525;1625;416;248;168;911;516;395;1823;761;1062
2020 week 4*;3040;1466;1574;352;214;138;933;535;398;1755;717;1038
2020 week 5*;3156;1572;1584;447;277;170;920;535;385;1789;760;1029
2020 week 6*;3186;1587;1599;397;236;161;979;572;407;1810;779;1031
2020 week 7*;3195;1506;1689;408;224;184;937;524;413;1850;758;1092
2020 week 8*;2952;1480;1472;338;190;148;867;533;334;1747;757;990
2020 week 9*;3083;1496;1587;400;227;173;904;521;383;1779;748;1031
2020 week10*;3083;1504;1579;386;223;163;878;497;381;1819;784;1035
2020 week 11*;3182;1577;1605;399;243;156;934;536;398;1849;798;1051